,Restaurant Name,Country Code,City,Longitude,Latitude,Major Cuisines,Average Cost for two in rupees,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Address
2942,Annapurna Sweet House,1,New Delhi,77.25338604,28.53622797,Mithai,150.0,No,No,No,1,3.7,Yellow,Good,55,"38, CSC Market 2, Chittaranjan Park, New Delhi"
2946,Dogs & Wiches,1,New Delhi,77.2530626,28.53681321,Continental,600.0,No,Yes,No,2,3.9,Yellow,Good,109,"Shop 105, 1st Floor, Chittaranjan Park, New Delhi"
2947,Maa Tara,1,New Delhi,77.2532976,28.5362306,Bengali,500.0,No,Yes,No,2,3.6,Yellow,Good,458,"45, 46, & 47, Market 2, Chittaranjan Park, New Delhi"
2948,My Spice Kitchen,1,New Delhi,77.2487359,28.5403982,North Indian,650.0,No,Yes,No,2,3.5,Yellow,Good,443,"51, Market 1, Chittaranjan Park, New Delhi"
2950,Baba Chicken Ludhiana Wale,1,New Delhi,77.24996019,28.54047929,North Indian,400.0,No,No,No,1,0.0,White,Not rated,0,"K 1/38, EPDP Main Road, Chittaranjan Park, New Delhi"
2951,Bengal Snacks,1,New Delhi,77.24868078,28.54036184,Fast Food,300.0,No,No,No,1,0.0,White,Not rated,2,"Shop 53, Market 1, Chittaranjan Park, New Delhi"
2953,Cafe Coffee Day,1,New Delhi,77.2530302,28.5393728,Cafe,450.0,No,No,No,1,0.0,White,Not rated,1,"K-1/14, Main Road, Chittaranjan Park, New Delhi"
2954,Craving Cure,1,New Delhi,77.2533385,28.5366561,Chinese,300.0,No,No,No,1,0.0,White,Not rated,2,"Shop 7, Market 2, Chittaranjan Park, New Delhi"
2955,Cuisine,1,New Delhi,77.2417726,28.5426944,North Indian,1500.0,Yes,No,No,3,0.0,White,Not rated,1,"Rockland Inn, B-207, Block B, Outer Ring Road, Near Savitri Cinema Flyover, Chittaranjan Park, New Delhi"
2956,Food Nation,1,New Delhi,0.0,0.0,North Indian,400.0,No,No,No,1,0.0,White,Not rated,0,"Shop 22, Market 1, Chittaranjan Park, New Delhi"
2957,Kamala Fast Food & Chinese,1,New Delhi,77.25298069,28.5359835,Fast Food,300.0,No,No,No,1,0.0,White,Not rated,2,"32, Market  2, Chittaranjan Park, New Delhi"
2958,Lokenath Sweets,1,New Delhi,77.2484567,28.5371718,Mithai,150.0,No,No,No,1,0.0,White,Not rated,2,"22, Market 4, Chittaranjan Park, New Delhi"
2959,Me and My Cake,1,New Delhi,0.0,0.0,Bakery,500.0,No,No,No,2,0.0,White,Not rated,0,"Chittaranjan Park, New Delhi"
2960,Chulha Punjabi Da,1,New Delhi,77.25327071,28.53634285,North Indian,600.0,No,Yes,No,2,2.4,Red,Poor,41,"36, C.S.C, Market 2, Chittaranjan Park, New Delhi"
2961,Viva Hyderabad,1,New Delhi,77.2529294,28.53692899,Biryani,600.0,No,Yes,No,2,2.3,Red,Poor,38,"Shop 102, 1st Floor, DDA Market 2, Chittaranjan Park, New Delhi"
2962,Metro Grill,1,New Delhi,77.1142232,28.7168739,North Indian,1200.0,Yes,No,No,3,3.4,Orange,Average,134,"4th Floor, City Centre Mall, Rohini, New Delhi"
2963,Cafe Cruise,1,New Delhi,77.1232509,28.6501775,Continental,1300.0,Yes,Yes,No,3,2.8,Orange,Average,153,"UG 16-17, 1st Floor, City Square Mall, Rajouri Garden, New Delhi"
2964,Etal The Lounge Bar,1,New Delhi,77.123654,28.6502181,North Indian,2000.0,Yes,No,No,4,3.2,Orange,Average,455,"18-20, 2nd Floor, City Square Mall, Rajouri Garden, New Delhi"
2965,"Game of Legends - Sports Bar, Grill, & Lounge",1,New Delhi,77.1233229,28.650366,North Indian,1450.0,Yes,No,No,3,3.5,Yellow,Good,609,"Level 3, City Square Mall, Rajouri Garden, New Delhi"
2966,Al-raaya,1,New Delhi,77.220848,28.671114,Mughlai,600.0,No,Yes,No,2,3.1,Orange,Average,6,"5B/1, Court Lane, Civil Lines, New Delhi"
2967,Authentique Bites,1,New Delhi,77.2253817,28.6764039,Bakery,300.0,No,No,No,1,3.2,Orange,Average,17,"7, Rajpur Road, Civil Lines, New Delhi"
2968,Embassy,1,New Delhi,77.2252021,28.6766555,Chinese,1200.0,Yes,Yes,No,3,3.0,Orange,Average,126,"2-13, Alipur Road, Civil Lines, New Delhi"
2969,Narang's Bake 'n' Cake,1,New Delhi,77.222238,28.7027947,Bakery,400.0,No,No,No,1,3.0,Orange,Average,4,"Shop 53, New Market, Timarpur, Civil Lines, New Delhi"
2970,New Darvesh,1,New Delhi,77.2203223,28.6976361,Chinese,150.0,No,No,No,1,3.0,Orange,Average,14,"B.D. Estate Market, Timarpur, Civil Lines, New Delhi"
2971,1UP,1,New Delhi,77.2252161,28.6762903,Cafe,1200.0,Yes,No,No,3,3.5,Yellow,Good,282,"13, Alipur Road, Exchange Store Building, Civil Lines, New Delhi"
2972,Gujarati Samaj Santushti,1,New Delhi,77.2241691,28.6722125,Gujarati,300.0,No,No,No,1,3.6,Yellow,Good,95,"2, Shri Delhi Gujarati Samaj, Raj Niwas Marg, Civil Lines, New Delhi"
2973,Hind Bakery & Chinese Fast Food,1,New Delhi,77.2222477,28.7028124,Fast Food,150.0,No,No,No,1,0.0,White,Not rated,0,"50, New Market, Timarpur, Near Civil Lines, New Delhi"
2974,Hot Pot,1,New Delhi,77.2213398,28.7008282,Chinese,150.0,No,No,No,1,0.0,White,Not rated,0,"DTC Bus Pass Section, Timarpur Chowk, Civil Lines, New Delhi"
2976,Saras Fast Food Feast,1,New Delhi,77.2224176,28.6726275,North Indian,300.0,No,No,No,1,0.0,White,Not rated,0,"Gujarati Samajh, Raj Niwas Marg, Civil Lines, New Delhi"
2977,Shama Chicken Corner,1,New Delhi,77.2211471,28.6917878,Biryani,300.0,No,No,No,1,0.0,White,Not rated,0,"Khaibar Pass, Main Road, Civil Lines, New Delhi"
2978,The Night Owl,1,New Delhi,77.2255613,28.6765107,Chinese,450.0,No,No,No,1,0.0,White,Not rated,1,"Civil Lines, New Delhi"
2979,Wimpy Sweets And Confectioners,1,New Delhi,77.2204415,28.6975181,Bakery,150.0,No,No,No,1,0.0,White,Not rated,1,"B.D. Estate Market, Timarpur, Civil Lines, New Delhi"
2980,Boa Village,1,New Delhi,77.2252919,28.6767537,Chinese,1500.0,Yes,No,No,3,4.0,Green,Very Good,225,"13, Alipur Road, Civil Lines, New Delhi"
2981,Anand Ji Restaurant,1,New Delhi,77.26811942,28.56171513,Chinese,400.0,No,No,No,1,3.1,Orange,Average,28,"35, Community Centre, New Friends Colony, New Delhi"
2982,Baskin Robbins,1,New Delhi,77.2683524,28.5620725,Ice Cream,300.0,No,Yes,No,1,3.3,Orange,Average,38,"67, Community Centre Market, New Friends Colony, New Delhi"
2983,Bhoj Restaurant,1,New Delhi,77.26825587,28.56150782,North Indian,600.0,No,No,No,2,2.8,Orange,Average,54,"24, Community Center, New Friends Colony, New Delhi"
2984,Brijwasi Restaurant,1,New Delhi,77.268392,28.56159321,North Indian,400.0,No,No,No,1,2.8,Orange,Average,32,"20, Community Center, New Friends Colony, New Delhi"
2985,Cafe Coffee Day - The Lounge,1,New Delhi,77.2690337,28.562628,Cafe,750.0,No,No,No,2,3.2,Orange,Average,42,"14, Community Centre, New Friends Colony, New Delhi"
2986,Cafe Coffee Day,1,New Delhi,77.26926506,28.5624519,Cafe,450.0,No,No,No,1,2.9,Orange,Average,10,"12, Community Centre, New Friends Colony, New Delhi"
2987,Chaat Tadka,1,New Delhi,77.26820022,28.56128843,North Indian,300.0,No,No,No,1,2.8,Orange,Average,27,"8, Community Center, New Friends Colony, New Delhi"
2988,Chawla's Unique Chicken Corner,1,New Delhi,77.26839837,28.56136028,North Indian,600.0,No,Yes,No,2,3.2,Orange,Average,35,"14, Community Centre, New Friends Colony, New Delhi"
2989,Dawat Khana,1,New Delhi,77.2688013,28.562384,North Indian,1600.0,Yes,Yes,No,3,2.5,Orange,Average,82,"17, Community Center, New Friends Colony, New Delhi"
2990,Eat n Joy,1,New Delhi,77.2684871,28.5614129,North Indian,500.0,No,No,No,2,3.2,Orange,Average,24,"16, Community Center, New Friends Colony, New Delhi"
2991,Khan Chicken Biryani,1,New Delhi,77.26784986,28.56181849,North Indian,500.0,No,No,No,2,2.9,Orange,Average,14,"Opposite LIC Office, Community Centre, New Friends Colony, New Delhi"
2992,Kolkata Roll,1,New Delhi,77.2685365,28.56132406,Fast Food,200.0,No,No,No,1,2.8,Orange,Average,16,"Community Centre, New Friends Colony, New Delhi"
2993,R. Ahmad Food,1,New Delhi,77.269169,28.562686,North Indian,450.0,No,No,No,1,3.0,Orange,Average,11,"Community Centre, New Friends Colony, New Delhi"
2994,Sab Ke Khatir,1,New Delhi,77.268562,28.560994,North Indian,600.0,No,No,No,2,3.1,Orange,Average,14,"Community Centre, New Friends Colony, New Delhi"
2995,Bon Bon Pastry Shop,1,New Delhi,77.26831857,28.56217362,Bakery,150.0,No,No,No,1,3.5,Yellow,Good,91,"73, Community Center, New Friends Colony, New Delhi"
2996,Moksha,1,New Delhi,77.26906691,28.56231173,North Indian,1400.0,Yes,Yes,No,3,3.7,Yellow,Good,110,"8, Community Center, New Friends Colony, New Delhi"
2997,Pebble Street,1,New Delhi,77.26893816,28.56253759,Italian,2400.0,Yes,Yes,No,4,3.9,Yellow,Good,886,"8, Community Center, New Friends Colony, New Delhi"
2998,Kebab Gallery,1,New Delhi,77.26817206,28.56203051,North Indian,400.0,No,No,No,1,0.0,White,Not rated,3,"Shop 86, Community Centre, New Friends Colony, New Delhi"
2999,Amber,1,New Delhi,77.2208907,28.6301966,North Indian,1800.0,Yes,Yes,No,3,2.6,Orange,Average,152,"N-19, Connaught Place, New Delhi"
3000,Attitude Kitchen & Bar,1,New Delhi,77.22035229,28.63004355,North Indian,1300.0,Yes,No,No,3,2.9,Orange,Average,140,"N-12, Outer Circle, Connaught Place, New Delhi"
3001,Cafe Coffee Day,1,New Delhi,77.2198128,28.6329609,Cafe,450.0,No,Yes,No,1,3.4,Orange,Average,277,"4, Rajiv Chowk, Connaught Place, New Delhi"
3002,Castle 9,1,New Delhi,77.2194984,28.6348572,Finger Food,1350.0,Yes,No,No,3,3.1,Orange,Average,1099,"B-45/47, 1st Floor, Near PVR Plaza, Connaught Place, New Delhi"
3003,Costa Coffee,1,New Delhi,77.2321919,28.62925605,Cafe,600.0,No,No,No,2,3.4,Orange,Average,76,"Shop 49, Bengali Market, Connaught Place, New Delhi"
3004,Delhi Darbar Dhaba,1,New Delhi,77.2298312,28.6305968,North Indian,400.0,No,Yes,No,1,3.2,Orange,Average,89,"7, NDMC Market, Babar Road, Near Bengali Market, Connaught Place, New Delhi"
3005,Garam Dharam,1,New Delhi,77.2226871,28.6317119,North Indian,1300.0,No,Yes,No,3,3.4,Orange,Average,1523,"M-16, Ground Floor, Outer Circle, Connaught Place, New Delhi"
3006,Gola Sizzlers,1,New Delhi,77.2198577,28.6352499,Chinese,1600.0,No,Yes,No,3,3.0,Orange,Average,671,"K-24, Opposite PVR Plaza Cinema, Connaught Place, New Delhi"
3007,Indian Coffee House,1,New Delhi,77.2160401,28.6305402,Fast Food,200.0,No,No,No,1,3.3,Orange,Average,1300,"2nd Floor, Mohan Singh Place, Connaught Place, New Delhi"
3008,My Bar Lounge & Restaurant,1,New Delhi,77.2165791,28.6323836,North Indian,1000.0,No,No,No,3,2.7,Orange,Average,2460,"G-68, Near Metro Exit 7 & 8, Outer Circle, Connaught Place, New Delhi"
3009,My Bar Square,1,New Delhi,77.2213398,28.6328378,North Indian,1000.0,No,No,No,3,2.5,Orange,Average,1096,"E-34 & 35, 1st Floor, Inner Circle, Connaught Place, New Delhi"
3010,Sagar Ratna,1,New Delhi,77.220409,28.6356827,South Indian,600.0,No,Yes,No,2,3.4,Orange,Average,499,"K-15, Connaught Place, New Delhi"
3011,The Immigrant Cafe,1,New Delhi,77.2190044,28.6340485,North Indian,1100.0,Yes,No,No,3,3.2,Orange,Average,563,"B-45, 1st Floor, Inner Circle, Connaught Place, New Delhi"
3012,MOB Brewpub,1,New Delhi,77.2226422,28.6332756,Continental,1500.0,No,No,No,3,4.7,Dark Green,Excellent,52,"M 44, Outer Circle, Connaught Place, New Delhi"
3013,Naturals Ice Cream,1,New Delhi,77.2221482,28.6343484,Ice Cream,150.0,No,Yes,No,1,4.9,Dark Green,Excellent,2620,"L-8, Outer Circle, Connaught Place, New Delhi"
3014,Zabardast Indian Kitchen,1,New Delhi,77.22217988,28.63259937,North Indian,1800.0,Yes,Yes,No,3,4.7,Dark Green,Excellent,242,"E-13/29, Ground Floor, Middle Circle, Connaught Place, New Delhi"
3015,Anand Restaurant,1,New Delhi,77.2208008,28.6290232,North Indian,550.0,No,No,No,2,3.6,Yellow,Good,485,"15/96, Scindia House, Connaught Place, New Delhi"
3016,Berco's,1,New Delhi,77.2172977,28.6324521,Chinese,1100.0,Yes,Yes,No,3,3.9,Yellow,Good,2639,"G-2/43, Middle Circle, Connaught Place, New Delhi"
3017,Blues,1,New Delhi,77.22061079,28.62986493,Continental,1100.0,No,No,No,3,3.7,Yellow,Good,706,"N-18, Outer Circle, Opposite Katurbha Gandhi Marg, Connaught Place, New Delhi"
3018,Burger King,1,New Delhi,77.2212499,28.6327396,Burger,500.0,No,Yes,No,2,3.8,Yellow,Good,2093,"E-8, Inner Circle, Connaught Place, New Delhi"
3019,Burger Singh,1,New Delhi,77.21751753,28.63432028,Burger,500.0,No,Yes,No,2,3.6,Yellow,Good,548,"H-45, Connaught Place, New Delhi"
3020,Cafe Coffee Day The Square,1,New Delhi,77.21993454,28.63372555,Cafe,700.0,No,No,No,2,3.6,Yellow,Good,361,"C-14, Connaught Place, New Delhi"
3021,Cafe Dalal Street,1,New Delhi,77.2228667,28.6332522,North Indian,1500.0,No,Yes,No,3,3.7,Yellow,Good,873,"M-89/90, M Block, Outer Circle, Connaught Place, New Delhi"
3022,Cafe Hawkers,1,New Delhi,77.2211601,28.6346126,Chinese,1200.0,Yes,No,No,3,3.7,Yellow,Good,673,"L-22, Radial Road, Near Odean Cinema, Connaught Place, New Delhi"
3023,Cafe Public Connection,1,New Delhi,77.2202619,28.6314806,North Indian,1200.0,Yes,No,No,3,3.7,Yellow,Good,834,"F-39-40, 1st & 2nd Floor, Inner Circle, Connaught Place, New Delhi"
3024,Caf�� MRP,1,New Delhi,77.2208907,28.6344973,North Indian,800.0,No,No,No,2,3.6,Yellow,Good,877,"1st Floor, C-39, Opposite Odean Cinema, Connaught Place, New Delhi"
3025,Caffe Tonino,1,New Delhi,77.2194535,28.6348977,Pizza,1400.0,No,Yes,No,3,3.9,Yellow,Good,1503,"1st Floor, PVR Plaza Building, H Block, Connaught Place, New Delhi"
3026,Cha Bar,1,New Delhi,77.22215876,28.63122333,Cafe,500.0,No,No,No,2,3.9,Yellow,Good,3206,"N-81, Oxford Bookstore, Connaught Place, New Delhi"
3027,Chaayos,1,New Delhi,77.22035263,28.63146522,Cafe,400.0,No,Yes,No,1,3.9,Yellow,Good,487,"F-14/15, Mezzanine, 1st Floor, F Block, Inner Circle, Connaught Place, New Delhi"
3028,Chew - Pan Asian Cafe,1,New Delhi,77.2228218,28.6320384,Asian,1700.0,Yes,Yes,No,3,3.9,Yellow,Good,2003,"M-16, 1st Floor, Outer Circle, Connaught Place, New Delhi"
3029,China Garden,1,New Delhi,77.217118,28.6339581,Chinese,1800.0,Yes,No,No,3,3.9,Yellow,Good,496,"G-4/5/6, Marina Arcade, Connaught Place, New Delhi"
3030,Desi Vibes,1,New Delhi,77.2206488,28.6302469,North Indian,1400.0,Yes,Yes,No,3,3.9,Yellow,Good,841,"2nd Floor, N-95, Outer Circle, Connaught Place, New Delhi"
3031,Domino's Pizza,1,New Delhi,77.2228959,28.6332312,Pizza,700.0,No,No,No,2,3.7,Yellow,Good,336,"M-42, Connaught Place, New Delhi"
3032,Dunkin' Donuts,1,New Delhi,77.22320214,28.62801416,Burger,600.0,No,Yes,No,2,3.8,Yellow,Good,271,"Ground Floor, HT House, Kasturba Gandhi Marg, Connaught Place, New Delhi"
3033,Dunkin' Donuts,1,New Delhi,77.2196331,28.6301662,Burger,600.0,No,No,No,2,3.9,Yellow,Good,1607,"N-6, Connaught Place, New Delhi"
3034,Embassy,1,New Delhi,77.2210029,28.6336789,North Indian,2000.0,Yes,Yes,No,4,3.5,Yellow,Good,706,"11-D, Connaught Place, New Delhi"
3035,FLYP@MTV,1,New Delhi,77.22072076,28.63033313,North Indian,1200.0,Yes,No,No,3,3.9,Yellow,Good,1379,"N/57 & N/60, 1st Floor, Outer Circle, Connaught Place, New Delhi"
3036,GoGourmet,1,New Delhi,77.223175,28.627897,Healthy Food,600.0,No,Yes,No,2,3.7,Yellow,Good,55,"18-20, Hindustan Times Buliding, KG Marg, Connaught Place, New Delhi"
3037,Haldiram's,1,New Delhi,77.2223278,28.6340072,Street Food,550.0,No,No,No,2,3.9,Yellow,Good,1151,"L-6, Outer Circle, Connaught Place, New Delhi"
3038,Indian Grill Company,1,New Delhi,77.2226871,28.6335935,North Indian,1300.0,Yes,Yes,No,3,3.7,Yellow,Good,626,"M-48, Outer Circle, Connaught Place, New Delhi"
3039,Jain Chawal Wale,1,New Delhi,77.216129,28.6318938,North Indian,250.0,No,Yes,No,1,3.8,Yellow,Good,301,"P-1/190, Connaught Circus, Connaught Place, New Delhi"
3040,Jungle Jamboree,1,New Delhi,77.2161749,28.6324794,North Indian,1200.0,Yes,No,No,3,3.8,Yellow,Good,1174,"P-17/90, Outer Circle, Connaught Place, New Delhi"
3041,Kake Da Hotel,1,New Delhi,77.2218787,28.6350395,North Indian,600.0,No,No,No,2,3.5,Yellow,Good,2185,"67, Municipal Market, Connaught Circle, Connaught Place, New Delhi"
3042,Kebab Xpress,1,New Delhi,77.2196331,28.6305246,North Indian,600.0,No,Yes,No,2,3.5,Yellow,Good,321,"N-5, Ground Floor, Opposite Palika Market Gate 5, Connaught Place, New Delhi"
3043,KFC,1,New Delhi,77.217,28.63136,American,500.0,No,Yes,No,2,3.7,Yellow,Good,427,"6 & 7, Scindia House, Outer Circle, Connaught Place, New Delhi"
3044,Khan Chacha,1,New Delhi,77.2208907,28.6340493,Mughlai,650.0,No,Yes,No,2,3.7,Yellow,Good,1189,"D-3, Connaught Place, New Delhi"
3045,Kinbuck 2,1,New Delhi,77.2163994,28.6320976,North Indian,1600.0,No,No,No,3,3.9,Yellow,Good,1286,"P-10/90, 1st & 2nd Floor, Outer Circle, Connaught Place, New Delhi"
3046,La Americana,1,New Delhi,77.222736,28.6331936,Fast Food,450.0,No,Yes,No,1,3.7,Yellow,Good,41,"42, M Block, Outer circle, Connaught Place, New Delhi"
3047,Lady Baga,1,New Delhi,77.21645035,28.63123951,Goan,1200.0,Yes,Yes,No,3,3.7,Yellow,Good,277,"P-3/90, Connaught Circus, Connaught Place, New Delhi"
3048,Life Caffe,1,New Delhi,77.21829101,28.63417726,Cafe,1500.0,Yes,No,No,3,3.6,Yellow,Good,391,"B-49, The Corus, Inner Circle, Connaught Place, New Delhi"
3049,Lord of the Drinks,1,New Delhi,77.2167587,28.6319527,European,2200.0,No,No,No,4,3.9,Yellow,Good,2589,"G-72, 1st Floor, Outer Circle, Connaught Place, New Delhi"
3050,McDonald's,1,New Delhi,77.216411,28.6323132,Fast Food,500.0,No,No,No,2,3.8,Yellow,Good,388,"P-14, Connaught Place, New Delhi"
3051,McDonald's,1,New Delhi,77.22015667,28.63000833,Fast Food,500.0,No,No,No,2,3.7,Yellow,Good,108,"N- 10, Connaught Place, New Delhi"
3052,Moets Arabica,1,New Delhi,77.2208276,28.6303042,Arabian,400.0,No,No,No,1,3.5,Yellow,Good,95,"N-20, Outer Circle, Connaught Place, New Delhi"
3053,Mother India,1,New Delhi,77.2190709,28.6355337,Bengali,1400.0,Yes,No,No,3,3.9,Yellow,Good,66,"Ground Floor, H-11, Outer Circle, Connaught Place, New Delhi"
3054,Mughlai Junction,1,New Delhi,77.2204415,28.6307809,North Indian,650.0,No,Yes,No,2,3.9,Yellow,Good,310,"N-33/10, Middle Circle, Connaught Place, New Delhi"
3055,My Bar Headquarters,1,New Delhi,77.2198128,28.630721,North Indian,1000.0,No,No,No,3,3.7,Yellow,Good,3010,"N-49, 2nd Floor, Connaught Place, New Delhi"
3056,Nando's,1,New Delhi,77.21980177,28.63089815,Portuguese,1200.0,No,Yes,No,3,3.7,Yellow,Good,1891,"F-29/30 A, Malhotra Building, Inner Circle, Connaught Place, New Delhi"
3057,Nizam's Kathi Kabab,1,New Delhi,77.2193637,28.6349788,North Indian,900.0,No,No,No,2,3.8,Yellow,Good,1761,"H-5/6, Plaza Building, Connaught Place, New Delhi"
3058,Oh My God,1,New Delhi,77.2205314,28.6312375,North Indian,1400.0,Yes,No,No,3,3.8,Yellow,Good,367,"14-15, 2nd Floor, Block F, Inner Circle, Connaught Place, New Delhi"
3059,Open House Cafe,1,New Delhi,77.22071037,28.63430998,North Indian,1700.0,No,No,No,3,3.8,Yellow,Good,1158,"C-37, Connaught Place, New Delhi"
3060,Parikrama - The Revolving Restaurant,1,New Delhi,77.22263787,28.62845265,North Indian,2400.0,No,No,No,4,3.8,Yellow,Good,2689,"22, Antriksh Bhavan, Kasturba Gandhi Marg, Connaught Place, New Delhi"
3061,Pind Balluchi,1,New Delhi,77.2180107,28.6308607,North Indian,1000.0,No,Yes,No,3,3.6,Yellow,Good,1434,"13, Regal Building, Connaught Place, New Delhi"
3062,Pizza Hut,1,New Delhi,77.2228218,28.6322176,Italian,1000.0,No,Yes,No,3,3.5,Yellow,Good,541,"M-20, Outer Circle, Connaught Place, New Delhi"
3063,Playboy Cafe,1,New Delhi,77.2198128,28.6306314,North Indian,1100.0,Yes,No,No,3,3.7,Yellow,Good,140,"49/1, 1st Floor, N Block, Connaught Place, New Delhi"
3065,Punjabi By Nature,1,New Delhi,77.2197679,28.6308511,North Indian,1100.0,Yes,Yes,No,3,3.7,Yellow,Good,1256,"30-B, F Block, Connaught Place, New Delhi"
3066,Quote - The Eclectic Bar and Lounge,1,New Delhi,77.2171077,28.6308473,Finger Food,1700.0,Yes,No,No,3,3.5,Yellow,Good,422,"2nd Floor, 44, Regal Cinema Complex, Outer Circle, Connaught Place, New Delhi"
3067,Rajdhani Thali Restaurant,1,New Delhi,77.22053636,28.62981696,Gujarati,950.0,No,Yes,No,2,3.6,Yellow,Good,1134,"9-A, Atmaram Mansion, Scindia House, Connaught Place, New Delhi"
3068,Route 04,1,New Delhi,77.2200822,28.6348681,Continental,1350.0,Yes,Yes,No,3,3.5,Yellow,Good,1863,"K-2, Middle Circle, Connaught Place, New Delhi"
3069,Sbarro,1,New Delhi,77.2197229,28.630354,Pizza,600.0,No,Yes,No,2,3.5,Yellow,Good,1311,"N-4, Connaught Place, New Delhi"
3070,Shake Square,1,New Delhi,77.2181959,28.6335234,Beverages,400.0,No,No,No,1,3.7,Yellow,Good,1333,"A-17, Inner Circle, Connaught Place, New Delhi"
3071,South Indian Snacks,1,New Delhi,77.21608289,28.62612864,South Indian,300.0,No,No,No,1,3.6,Yellow,Good,50,"Near Jantar Mantar Bus Stand, Jantar Mantar Road, Connaught Place, New Delhi"
3072,SSKY Bar & Lounge,1,New Delhi,77.22247191,28.6286716,Mughlai,2800.0,Yes,No,No,4,3.5,Yellow,Good,92,"Antariksh Bhavan, 22, Kasturba Gandhi Marg, Connaught Place, New Delhi"
3073,Starbucks,1,New Delhi,77.22063158,28.63014067,Cafe,700.0,No,No,No,2,3.8,Yellow,Good,552,"N-16, N Block, Near Rajiv Chowk Metro Gate 7, Outer Circle, Connaught Place, New Delhi"
3074,Subway,1,New Delhi,77.222238,28.6311315,American,500.0,No,Yes,No,2,3.5,Yellow,Good,276,"M-8, Connaught Place, New Delhi"
3075,Tamasha,1,New Delhi,77.221744,28.629606,Finger Food,1600.0,Yes,No,No,3,3.7,Yellow,Good,1801,"28, Kasturba Gandhi Marg, Connaught Place, New Delhi"
3076,Taste of China,1,New Delhi,77.2204748,28.6300841,Chinese,1200.0,No,Yes,No,3,3.5,Yellow,Good,327,"N-18, Outer Circle, Opposite Kasturba Gandhi Marg, Connaught Place, New Delhi"
3077,Teddy Boy,1,New Delhi,77.2198128,28.6301834,North Indian,1200.0,Yes,No,No,3,3.9,Yellow,Good,1020,"N-86, 1st Floor, Outer Circle, Connaught Place, New Delhi"
3078,The Beer Cafe - BIGGIE,1,New Delhi,77.2208008,28.6339511,Finger Food,1250.0,Yes,No,No,3,3.8,Yellow,Good,645,"D-2, Inner Circle, Connaught Place, New Delhi"
3079,The Flying Saucer Cafe,1,New Delhi,77.2210703,28.6315577,Italian,1500.0,Yes,No,No,3,3.9,Yellow,Good,143,"E-42 & 43, Inner Circle, Connaught Place, New Delhi"
3080,The Junkyard Cafe,1,New Delhi,77.2207923,28.6303196,North Indian,1500.0,Yes,No,No,3,3.9,Yellow,Good,1545,"91, 2nd Floor, N Block, Connaught Place, New Delhi"
3081,The Luggage Room Kitchen And Bar,1,New Delhi,77.2228667,28.6331626,North Indian,1400.0,Yes,No,No,3,3.5,Yellow,Good,63,"M-39, Outer Circle, Connaught Place, New Delhi"
3082,The Rolling Joint,1,New Delhi,77.2219685,28.6335249,Fast Food,450.0,No,Yes,No,1,3.9,Yellow,Good,783,"M-61/1, Middle Lane, Behind Odeon Cinema, Connaught Place, New Delhi"
3083,The Vault Cafe,1,New Delhi,77.21964553,28.63104411,North Indian,1600.0,Yes,No,No,3,3.9,Yellow,Good,3413,"F-60, 2nd Floor, Connaught Place, New Delhi"
3084,Veda,1,New Delhi,77.2181061,28.6352172,North Indian,1600.0,Yes,Yes,No,3,3.9,Yellow,Good,1087,"H-27, Outer Circle, Connaught Place, New Delhi"
3085,Warehouse Cafe,1,New Delhi,77.22086292,28.63384356,American,1500.0,No,No,No,3,3.7,Yellow,Good,4914,"D -19/20, 1st Floor, Inner Circle, Connaught Place, New Delhi"
3086,Zaffran,1,New Delhi,77.221559,28.6336168,North Indian,1800.0,No,No,No,3,3.9,Yellow,Good,908,"D-26/28, Hotel Palace Heights, Connaught Place, New Delhi"
3087,Zen,1,New Delhi,77.2192738,28.6342534,Chinese,1500.0,Yes,Yes,No,3,3.5,Yellow,Good,1027,"B-25, Connaught Place, New Delhi"
3088,Zizo,1,New Delhi,77.2199026,28.635299,Lebanese,1600.0,Yes,Yes,No,3,3.9,Yellow,Good,1071,"K-18 & 22, Connaught Place, New Delhi"
3089,Kettle & Kegs,1,New Delhi,77.23041,28.636975,Tea,200.0,No,Yes,No,1,0.0,White,Not rated,0,"Connaught Place, New Delhi"
3090,Ovenstory Pizza,1,New Delhi,77.22947,28.637044,Pizza,500.0,No,Yes,No,2,0.0,White,Not rated,0,"Gandhi Market, Minto Road, Connaught Place, New Delhi"
3091,Shree Hari Vaishnav Dhaba,1,New Delhi,77.2296803,28.6302952,North Indian,200.0,No,No,No,1,0.0,White,Not rated,2,"Shop 20, NDMC Market, Babar Road, Near Bengali Market, Connaught Place, New Delhi"
3092,38 Barracks,1,New Delhi,77.22285848,28.63302489,North Indian,1600.0,Yes,No,No,3,4.4,Green,Very Good,840,"M-38, Outer Circle, Connaught Place, New Delhi"
3093,Ambrosia Bliss,1,New Delhi,77.22212523,28.63386651,North Indian,1800.0,Yes,No,No,3,4.0,Green,Very Good,2333,"2nd Floor, L-51 to 54, Outer Circle, Connaught Place, New Delhi"
3094,Ardor 2.1,1,New Delhi,77.2201721,28.6300384,North Indian,2000.0,Yes,Yes,No,4,4.1,Green,Very Good,1821,"N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi"
